"UID","age","answers","email","screenHeight","screenWidth","sex","userFeedback","version"
"db72e0c9-717f-48e9-ad51-8a78eceb98bc","19","[{""S"":""7""},{""S"":""9""},{""S"":""6""},{""S"":""8""},{""S"":""10""},{""S"":""8""},{""S"":""5""},{""S"":""5""},{""S"":""8""},{""S"":""7""},{""S"":""7""},{""S"":""8""},{""S"":""9""},{""S"":""5""},{""S"":""6""},{""S"":""6""},{""S"":""7""},{""S"":""10""},{""S"":""6""},{""S"":""10""},{""S"":""6""},{""S"":""10""},{""S"":""5""},{""S"":""3""},{""S"":""8""},{""S"":""4""},{""S"":""2""},{""S"":""7""},{""S"":""7""},{""S"":""9""},{""S"":""4""},{""S"":""10""},{""S"":""8""},{""S"":""8""},{""S"":""7""},{""S"":""9""},{""S"":""8""},{""S"":""8""},{""S"":""1""},{""S"":""8""},{""S"":""9""},{""S"":""5""},{""S"":""6""},{""S"":""7""},{""S"":""10""},{""S"":""8""},{""S"":""8""},{""S"":""5""},{""S"":""9""},{""S"":""10""},{""S"":""4""},{""S"":""5""},{""S"":""8""},{""S"":""8""},{""S"":""3""},{""S"":""7""},{""S"":""4""},{""S"":""10""},{""S"":""9""},{""S"":""6""}]","'-365415322","864","1536","male","","1"
"32dceab8-d5fb-4763-9532-dd50e78598c1","50","[{""S"":""8""},{""S"":""3""},{""S"":""7""},{""S"":""7""},{""S"":""9""},{""S"":""6""},{""S"":""8""},{""S"":""8""},{""S"":""6""},{""S"":""8""},{""S"":""4""},{""S"":""8""},{""S"":""7""},{""S"":""8""},{""S"":""8""},{""S"":""6""},{""S"":""7""},{""S"":""5""},{""S"":""10""},{""S"":""8""},{""S"":""6""},{""S"":""5""},{""S"":""5""},{""S"":""6""},{""S"":""6""},{""S"":""2""},{""S"":""8""},{""S"":""9""},{""S"":""5""},{""S"":""9""},{""S"":""7""},{""S"":""5""},{""S"":""6""},{""S"":""9""},{""S"":""1""},{""S"":""8""},{""S"":""4""},{""S"":""6""},{""S"":""4""},{""S"":""7""},{""S"":""7""},{""S"":""7""},{""S"":""9""},{""S"":""10""},{""S"":""8""},{""S"":""8""},{""S"":""10""},{""S"":""5""},{""S"":""6""},{""S"":""9""},{""S"":""3""},{""S"":""5""},{""S"":""10""},{""S"":""8""},{""S"":""5""},{""S"":""9""},{""S"":""10""},{""S"":""4""},{""S"":""7""},{""S"":""9""}]","1282626328","864","1536","male","","3"
"e028af94-b9f2-449d-8268-992496c71564","18","[{""S"":""7""},{""S"":""9""},{""S"":""6""},{""S"":""7""},{""S"":""10""},{""S"":""9""},{""S"":""5""},{""S"":""5""},{""S"":""8""},{""S"":""7""},{""S"":""9""},{""S"":""9""},{""S"":""9""},{""S"":""5""},{""S"":""6""},{""S"":""6""},{""S"":""7""},{""S"":""10""},{""S"":""6""},{""S"":""10""},{""S"":""6""},{""S"":""10""},{""S"":""5""},{""S"":""3""},{""S"":""8""},{""S"":""4""},{""S"":""2""},{""S"":""6""},{""S"":""7""},{""S"":""9""},{""S"":""4""},{""S"":""10""},{""S"":""8""},{""S"":""7""},{""S"":""7""},{""S"":""9""},{""S"":""8""},{""S"":""8""},{""S"":""1""},{""S"":""8""},{""S"":""9""},{""S"":""5""},{""S"":""6""},{""S"":""7""},{""S"":""8""},{""S"":""8""},{""S"":""8""},{""S"":""5""},{""S"":""9""},{""S"":""10""},{""S"":""4""},{""S"":""6""},{""S"":""8""},{""S"":""10""},{""S"":""3""},{""S"":""7""},{""S"":""4""},{""S"":""10""},{""S"":""10""},{""S"":""6""}]","'-699071941","960","1536","male","","1"
"91671f0c-acfd-4d4e-b42b-fb48a0e93aeb","46","[{""S"":""6""},{""S"":""4""},{""S"":""6""},{""S"":""7""},{""S"":""7""},{""S"":""7""},{""S"":""4""},{""S"":""9""},{""S"":""8""},{""S"":""9""},{""S"":""8""},{""S"":""8""},{""S"":""8""},{""S"":""8""},{""S"":""10""},{""S"":""10""},{""S"":""7""},{""S"":""7""},{""S"":""10""},{""S"":""10""},{""S"":""10""},{""S"":""5""},{""S"":""4""},{""S"":""8""},{""S"":""8""},{""S"":""6""},{""S"":""9""},{""S"":""9""},{""S"":""7""},{""S"":""5""},{""S"":""5""},{""S"":""3""},{""S"":""4""},{""S"":""1""},{""S"":""8""},{""S"":""7""},{""S"":""10""},{""S"":""7""},{""S"":""8""},{""S"":""5""},{""S"":""9""},{""S"":""5""},{""S"":""7""},{""S"":""10""},{""S"":""3""},{""S"":""5""},{""S"":""9""},{""S"":""10""},{""S"":""10""},{""S"":""9""},{""S"":""7""},{""S"":""6""},{""S"":""2""},{""S"":""6""},{""S"":""5""},{""S"":""6""},{""S"":""10""},{""S"":""6""},{""S"":""5""},{""S"":""9""}]","'-459063666","1080","1920","female","","2"
"41d8b619-475b-4f36-b531-f413bd489067","18","[{""S"":""10""},{""S"":""3""},{""S"":""7""},{""S"":""7""},{""S"":""9""},{""S"":""6""},{""S"":""8""},{""S"":""8""},{""S"":""6""},{""S"":""10""},{""S"":""4""},{""S"":""10""},{""S"":""7""},{""S"":""8""},{""S"":""9""},{""S"":""8""},{""S"":""7""},{""S"":""5""},{""S"":""10""},{""S"":""9""},{""S"":""6""},{""S"":""5""},{""S"":""7""},{""S"":""6""},{""S"":""8""},{""S"":""2""},{""S"":""9""},{""S"":""9""},{""S"":""7""},{""S"":""10""},{""S"":""7""},{""S"":""5""},{""S"":""5""},{""S"":""9""},{""S"":""1""},{""S"":""9""},{""S"":""4""},{""S"":""6""},{""S"":""4""},{""S"":""8""},{""S"":""7""},{""S"":""7""},{""S"":""8""},{""S"":""10""},{""S"":""9""},{""S"":""8""},{""S"":""9""},{""S"":""5""},{""S"":""7""},{""S"":""9""},{""S"":""3""},{""S"":""5""},{""S"":""10""},{""S"":""7""},{""S"":""5""},{""S"":""9""},{""S"":""10""},{""S"":""4""},{""S"":""8""},{""S"":""10""}]","'-712673500","1080","1920","male","","3"
"f94b2419-589c-401c-bfd9-8c09a0f2cff8","51","[{""S"":""7""},{""S"":""9""},{""S"":""6""},{""S"":""6""},{""S"":""9""},{""S"":""10""},{""S"":""5""},{""S"":""5""},{""S"":""8""},{""S"":""7""},{""S"":""9""},{""S"":""9""},{""S"":""9""},{""S"":""5""},{""S"":""6""},{""S"":""6""},{""S"":""7""},{""S"":""10""},{""S"":""6""},{""S"":""10""},{""S"":""6""},{""S"":""10""},{""S"":""5""},{""S"":""3""},{""S"":""8""},{""S"":""4""},{""S"":""2""},{""S"":""7""},{""S"":""7""},{""S"":""9""},{""S"":""4""},{""S"":""9""},{""S"":""8""},{""S"":""6""},{""S"":""7""},{""S"":""9""},{""S"":""8""},{""S"":""8""},{""S"":""1""},{""S"":""7""},{""S"":""9""},{""S"":""6""},{""S"":""6""},{""S"":""7""},{""S"":""8""},{""S"":""8""},{""S"":""9""},{""S"":""5""},{""S"":""9""},{""S"":""10""},{""S"":""4""},{""S"":""6""},{""S"":""7""},{""S"":""9""},{""S"":""3""},{""S"":""7""},{""S"":""4""},{""S"":""10""},{""S"":""10""},{""S"":""6""}]","478689054","883","412","male","","1"
"8ac9e3db-82c9-436c-8884-74882269e126","18","[{""S"":""6""},{""S"":""4""},{""S"":""6""},{""S"":""7""},{""S"":""7""},{""S"":""7""},{""S"":""4""},{""S"":""10""},{""S"":""7""},{""S"":""9""},{""S"":""8""},{""S"":""7""},{""S"":""7""},{""S"":""8""},{""S"":""9""},{""S"":""10""},{""S"":""7""},{""S"":""7""},{""S"":""10""},{""S"":""10""},{""S"":""9""},{""S"":""6""},{""S"":""4""},{""S"":""8""},{""S"":""9""},{""S"":""6""},{""S"":""8""},{""S"":""8""},{""S"":""6""},{""S"":""5""},{""S"":""5""},{""S"":""3""},{""S"":""4""},{""S"":""1""},{""S"":""9""},{""S"":""7""},{""S"":""10""},{""S"":""7""},{""S"":""8""},{""S"":""5""},{""S"":""7""},{""S"":""5""},{""S"":""6""},{""S"":""10""},{""S"":""3""},{""S"":""5""},{""S"":""9""},{""S"":""10""},{""S"":""8""},{""S"":""9""},{""S"":""7""},{""S"":""6""},{""S"":""2""},{""S"":""6""},{""S"":""5""},{""S"":""6""},{""S"":""10""},{""S"":""6""},{""S"":""5""},{""S"":""8""}]","'-699071941","1080","1920","male","","2"
"c4fc1216-1d43-4074-b63f-2fb3347c878f","28","[{""S"":""6""},{""S"":""4""},{""S"":""6""},{""S"":""6""},{""S"":""7""},{""S"":""7""},{""S"":""4""},{""S"":""10""},{""S"":""7""},{""S"":""7""},{""S"":""9""},{""S"":""8""},{""S"":""7""},{""S"":""7""},{""S"":""9""},{""S"":""10""},{""S"":""9""},{""S"":""7""},{""S"":""10""},{""S"":""5""},{""S"":""9""},{""S"":""8""},{""S"":""4""},{""S"":""7""},{""S"":""8""},{""S"":""6""},{""S"":""7""},{""S"":""4""},{""S"":""5""},{""S"":""7""},{""S"":""6""},{""S"":""3""},{""S"":""4""},{""S"":""1""},{""S"":""4""},{""S"":""7""},{""S"":""10""},{""S"":""7""},{""S"":""8""},{""S"":""5""},{""S"":""8""},{""S"":""5""},{""S"":""6""},{""S"":""6""},{""S"":""3""},{""S"":""4""},{""S"":""7""},{""S"":""8""},{""S"":""9""},{""S"":""10""},{""S"":""7""},{""S"":""6""},{""S"":""2""},{""S"":""3""},{""S"":""5""},{""S"":""6""},{""S"":""7""},{""S"":""4""},{""S"":""5""},{""S"":""7""}]","358748619","900","1440","female","""this was incredibly diffcult ""","2"
"7892c622-9fe9-467b-ac8e-bfcc0f7ebafc","20","[{""S"":""5""},{""S"":""4""},{""S"":""6""},{""S"":""7""},{""S"":""7""},{""S"":""7""},{""S"":""4""},{""S"":""9""},{""S"":""7""},{""S"":""9""},{""S"":""8""},{""S"":""7""},{""S"":""8""},{""S"":""8""},{""S"":""10""},{""S"":""9""},{""S"":""7""},{""S"":""7""},{""S"":""7""},{""S"":""10""},{""S"":""9""},{""S"":""6""},{""S"":""4""},{""S"":""8""},{""S"":""7""},{""S"":""6""},{""S"":""8""},{""S"":""8""},{""S"":""6""},{""S"":""5""},{""S"":""5""},{""S"":""3""},{""S"":""4""},{""S"":""1""},{""S"":""8""},{""S"":""7""},{""S"":""9""},{""S"":""7""},{""S"":""8""},{""S"":""5""},{""S"":""9""},{""S"":""5""},{""S"":""6""},{""S"":""10""},{""S"":""3""},{""S"":""5""},{""S"":""8""},{""S"":""9""},{""S"":""8""},{""S"":""8""},{""S"":""7""},{""S"":""6""},{""S"":""2""},{""S"":""6""},{""S"":""5""},{""S"":""6""},{""S"":""10""},{""S"":""6""},{""S"":""5""},{""S"":""8""}]","31903907","900","1440","female","","2"
"3a3e6787-dea6-4603-a13c-a88768724c1e","18","[{""S"":""6""},{""S"":""4""},{""S"":""6""},{""S"":""7""},{""S"":""7""},{""S"":""7""},{""S"":""4""},{""S"":""10""},{""S"":""8""},{""S"":""9""},{""S"":""8""},{""S"":""7""},{""S"":""7""},{""S"":""8""},{""S"":""9""},{""S"":""10""},{""S"":""7""},{""S"":""7""},{""S"":""10""},{""S"":""10""},{""S"":""9""},{""S"":""6""},{""S"":""4""},{""S"":""8""},{""S"":""9""},{""S"":""6""},{""S"":""8""},{""S"":""8""},{""S"":""7""},{""S"":""5""},{""S"":""5""},{""S"":""3""},{""S"":""4""},{""S"":""1""},{""S"":""8""},{""S"":""7""},{""S"":""10""},{""S"":""7""},{""S"":""8""},{""S"":""5""},{""S"":""7""},{""S"":""5""},{""S"":""6""},{""S"":""10""},{""S"":""3""},{""S"":""5""},{""S"":""9""},{""S"":""10""},{""S"":""8""},{""S"":""9""},{""S"":""7""},{""S"":""6""},{""S"":""2""},{""S"":""7""},{""S"":""5""},{""S"":""6""},{""S"":""10""},{""S"":""6""},{""S"":""5""},{""S"":""9""}]","599976556","900","1440","female","","2"
